Age,Gender,Education_Level,Job_ Title,Years_ of _Experience,EstimatedSalary
32.0,Male,Bachelor,Software Engineer,5.0,90000.0
28.0,Female,Master,Data Analyst,3.0,
,Male,PhD,Senior Manager,,150000.0
36.0,Female,Bachelor,Sales Associate,7.0,60000.0
52.0,Male,Master,Director,20.0,200000.0
29.0,Male,Bachelor,Marketing Analyst,2.0,55000.0
42.0,Female,Master,Product Manager,12.0,120000.0
31.0,Male,Bachelor,Sales Manager,4.0,80000.0
26.0,Female,Bachelor,Marketing Coordinator,1.0,45000.0
38.0,Male,PhD,Senior Scientist,10.0,110000.0
29.0,Male,Master,Software Developer,3.0,75000.0
48.0,Female,Bachelor,HR Manager,18.0,140000.0
35.0,Male,Bachelor,Financial Analyst,,65000.0
40.0,Female,Master,Project Manager,14.0,130000.0
27.0,Male,Bachelor,Customer Service Rep,2.0,40000.0
44.0,Male,Bachelor,Operations Manager,16.0,125000.0
33.0,Female,Master,Marketing Manager,7.0,90000.0
39.0,Male,PhD,Senior Engineer,12.0,115000.0
25.0,Female,Bachelor,Data Entry Clerk,0.0,35000.0
51.0,Male,Bachelor,Sales Director,22.0,180000.0
34.0,Female,Master,Business Analyst,5.0,80000.0
47.0,Male,Master,VP of Operations,19.0,190000.0
30.0,Male,Bachelor,IT Support,2.0,
36.0,Female,Bachelor,Recruiter,9.0,60000.0
41.0,Male,Master,Financial Manager,13.0,140000.0
28.0,Female,Bachelor,Social Media Specialist,3.0,45000.0
37.0,Female,Master,Software Manager,11.0,110000.0
24.0,Male,Bachelor,Junior Developer,1.0,40000.0
43.0,Female,PhD,Senior Consultant,15.0,140000.0
33.0,Male,Master,Product Designer,6.0,90000.0
50.0,Male,Bachelor,CEO,25.0,250000.0
31.0,Female,Bachelor,Accountant,4.0,55000.0
29.0,Male,Master,Data Scientist,3.0,75000.0
39.0,Female,Bachelor,Marketing Specialist,10.0,65000.0
46.0,Male,PhD,Senior Manager,20.0,170000.0
27.0,Male,Bachelor,Technical Writer,2.0,45000.0
35.0,Female,Bachelor,HR Generalist,7.0,60000.0
42.0,Male,Master,Project Engineer,14.0,115000.0
26.0,Female,Bachelor,Customer Success Rep,1.0,40000.0
49.0,Male,Bachelor,Sales Executive,21.0,160000.0
34.0,Female,Master,UX Designer,5.0,80000.0
48.0,Male,Master,Operations Director,18.0,190000.0
30.0,Male,Bachelor,Network Engineer,3.0,60000.0
36.0,Female,Bachelor,Administrative Assistant,8.0,45000.0
41.0,Male,Master,Strategy Consultant,13.0,130000.0
28.0,Female,Bachelor,Copywriter,2.0,40000.0
32.0,Male,Bachelor,Account Manager,5.0,75000.0
45.0,Female,Master,Director of Marketing,16.0,180000.0
38.0,Male,PhD,Senior Scientist,11.0,120000.0
25.0,Male,Bachelor,Help Desk Analyst,0.0,35000.0
51.0,Female,Bachelor,Customer Service Manager,22.0,130000.0
33.0,Male,Master,Business Intelligence Analyst,7.0,85000.0
40.0,Female,Bachelor,Event Coordinator,12.0,60000.0
47.0,Male,Master,VP of Finance,19.0,200000.0
29.0,Female,Bachelor,Graphic Designer,3.0,50000.0
36.0,Male,Bachelor,Sales Manager,9.0,95000.0
27.0,Female,Master,UX Researcher,2.0,65000.0
43.0,Male,PhD,Senior Engineer,17.0,140000.0
30.0,Female,Bachelor,Social Media Manager,4.0,55000.0
35.0,Male,Master,Product Manager,7.0,105000.0
51.0,Female,Master,Director of Operations,23.0,170000.0
29.0,Male,Bachelor,Marketing Analyst,3.0,50000.0
40.0,Female,Bachelor,HR Manager,12.0,80000.0
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0
26.0,Male,Bachelor,Junior Accountant,1.0,35000.0
38.0,Female,Master,Digital Marketing Manager,10.0,90000.0
46.0,Male,Bachelor,IT Manager,19.0,120000.0
31.0,Female,Bachelor,Customer Service Representative,5.0,45000.0
34.0,Male,Master,Business Development Manager,8.0,90000.0
49.0,Female,Master,Senior Financial Analyst,18.0,150000.0
33.0,Male,Bachelor,Web Developer,6.0,65000.0
39.0,Female,Bachelor,Recruiter,11.0,70000.0
45.0,Male,PhD,Research Director,16.0,190000.0
28.0,Male,Bachelor,Technical Support Specialist,2.0,40000.0
42.0,Female,Master,Creative Director,14.0,120000.0
37.0,Male,Bachelor,Project Manager,10.0,95000.0
50.0,Female,Bachelor,Operations Manager,22.0,160000.0
32.0,Male,Master,Senior Software Engineer,6.0,100000.0
48.0,Female,Master,Human Resources Director,20.0,180000.0
30.0,Female,Bachelor,Content Marketing Manager,3.0,55000.0
36.0,Male,Bachelor,Technical Recruiter,8.0,70000.0
41.0,Female,Master,Data Analyst,13.0,80000.0
25.0,Male,Bachelor,Sales Representative,0.0,30000.0
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0
29.0,Female,Bachelor,Junior Designer,2.0,40000.0
34.0,Female,Master,Financial Advisor,10.0,95000.0
27.0,Male,Bachelor,Junior Account Manager,2.0,45000.0
40.0,Female,Bachelor,HR Generalist,15.0,80000.0
46.0,Male,Master,Senior Project Manager,21.0,135000.0
31.0,Female,Bachelor,Marketing Coordinator,6.0,55000.0
36.0,Male,PhD,Principal Scientist,11.0,120000.0
29.0,Female,Bachelor,Sales Associate,3.0,40000.0
43.0,Male,Bachelor,Supply Chain Manager,18.0,105000.0
52.0,Female,Master,Senior Marketing Manager,25.0,170000.0
33.0,Male,Bachelor,Business Analyst,7.0,75000.0
39.0,Female,Bachelor,Training Specialist,12.0,65000.0
47.0,Male,PhD,Research Scientist,22.0,160000.0
26.0,Male,Bachelor,Junior Software Developer,1.0,35000.0
38.0,Female,Master,Public Relations Manager,10.0,90000.0
45.0,Male,Bachelor,Operations Analyst,20.0,110000.0
31.0,Female,Bachelor,Event Coordinator,5.0,45000.0
35.0,Male,Master,Product Marketing Manager,8.0,95000.0
49.0,Female,Master,Senior HR Manager,19.0,150000.0
33.0,Male,Bachelor,Junior Web Developer,5.0,50000.0
39.0,Female,Master,Senior Project Coordinator,13.0,80000.0
44.0,Male,PhD,Chief Data Officer,16.0,220000.0
30.0,Female,Bachelor,Digital Content Producer,3.0,50000.0
36.0,Male,Bachelor,IT Support Specialist,7.0,60000.0
41.0,Female,Master,Senior Marketing Analyst,14.0,100000.0
28.0,Male,Bachelor,Customer Success Manager,2.0,40000.0
42.0,Female,Master,Senior Graphic Designer,15.0,110000.0
37.0,Male,Bachelor,Software Project Manager,9.0,95000.0
50.0,Female,Bachelor,Supply Chain Analyst,22.0,130000.0
32.0,Male,Master,Senior Business Analyst,6.0,90000.0
23.0,Female,Bachelor,Junior Marketing Analyst,0.5,35000.0
31.0,Male,Master,Senior Financial Analyst,6.0,95000.0
40.0,Female,Bachelor,Office Manager,15.0,65000.0
48.0,Male,PhD,Principal Engineer,20.0,170000.0
29.0,Female,Bachelor,Junior HR Generalist,3.0,45000.0
35.0,Male,Master,Senior Product Manager,10.0,120000.0
42.0,Female,Bachelor,Sales Manager,17.0,100000.0
53.0,Male,Master,Director of Marketing,25.0,180000.0
33.0,Female,Bachelor,Junior Operations Analyst,5.0,50000.0
38.0,Male,Bachelor,Customer Service Manager,11.0,80000.0
44.0,Female,PhD,Senior Scientist,16.0,140000.0
26.0,Male,Bachelor,Junior Accountant,2.0,40000.0
37.0,Female,Master,Senior HR Generalist,9.0,95000.0
45.0,Male,Bachelor,Sales Operations Manager,18.0,110000.0
32.0,Female,Bachelor,Marketing Coordinator,4.0,50000.0
34.0,Male,Master,Senior Software Developer,8.0,105000.0
50.0,Female,Master,Director of Operations,21.0,160000.0
29.0,Male,Bachelor,Junior Web Designer,3.0,45000.0
40.0,Female,Master,Senior Training Specialist,12.0,100000.0
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0
27.0,Male,Bachelor,Junior Sales Representative,1.0,35000.0
39.0,Female,Bachelor,Administrative Assistant,10.0,55000.0
46.0,Male,Master,Senior Project Manager,19.0,140000.0
30.0,Female,Bachelor,Junior Marketing Manager,4.0,50000.0
36.0,Male,Bachelor,Junior Data Analyst,7.0,60000.0
43.0,Female,Master,Senior Product Marketing Manager,14.0,120000.0
28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0
41.0,Female,Master,Senior Marketing Manager,13.0,110000.0
33.0,Male,Bachelor,Junior Software Developer,5.0,50000.0
47.0,Male,Bachelor,Senior Sales Manager,20.0,135000.0
25.0,Female,Master,Junior Marketing Specialist,1.5,40000.0
34.0,Male,Bachelor,Senior Business Analyst,8.0,90000.0
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
31.0,Male,Bachelor,Junior Project Manager,4.0,60000.0
38.0,Female,Bachelor,Senior Accountant,10.0,80000.0
45.0,Male,Master,Director of Sales,19.0,175000.0
29.0,Female,Bachelor,Junior Recruiter,3.0,45000.0
36.0,Male,Master,Senior Business Development Manager,11.0,120000.0
43.0,Female,PhD,Senior Product Designer,18.0,140000.0
26.0,Male,Bachelor,Junior Customer Support Specialist,2.0,35000.0
37.0,Female,Master,Senior Marketing Analyst,9.0,95000.0
44.0,Male,Bachelor,Senior IT Support Specialist,14.0,110000.0
32.0,Female,Bachelor,Junior Financial Analyst,5.0,50000.0
33.0,Male,Master,Senior Operations Manager,7.0,115000.0
51.0,Female,PhD,Director of Human Resources,23.0,185000.0
28.0,Male,Bachelor,Junior Software Engineer,2.0,40000.0
39.0,Female,Bachelor,Senior Sales Representative,12.0,90000.0
48.0,Male,Master,Director of Product Management,21.0,175000.0
30.0,Female,Bachelor,Junior Copywriter,3.0,45000.0
35.0,Male,Bachelor,Senior Marketing Coordinator,7.0,80000.0
41.0,Female,Master,Senior Human Resources Manager,13.0,120000.0
27.0,Male,Bachelor,Junior Business Development Associate,1.5,35000.0
40.0,Female,Bachelor,Senior Account Manager,14.0,110000.0
46.0,Male,PhD,Senior Researcher,18.0,150000.0
31.0,Female,Bachelor,Junior HR Coordinator,4.0,50000.0
34.0,Male,Master,Senior Software Engineer,9.0,105000.0
50.0,Female,Master,Director of Finance,20.0,180000.0
29.0,Male,Bachelor,Junior Marketing Coordinator,2.0,40000.0
,,,,,
43.0,Male,Bachelor,Senior Project Manager,16.0,140000.0
26.0,Female,Master,Junior Data Scientist,1.5,45000.0
35.0,Male,Bachelor,Senior Operations Analyst,7.0,85000.0
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
31.0,Male,Bachelor,Junior Accountant,4.0,50000.0
38.0,Female,Bachelor,Senior Human Resources Coordinator,10.0,80000.0
46.0,Male,Master,Director of Operations,20.0,170000.0
29.0,Female,Bachelor,Junior Sales Representative,2.0,40000.0
37.0,Male,Master,Senior Business Analyst,9.0,105000.0
44.0,Female,PhD,Senior UX Designer,15.0,145000.0
27.0,Male,Bachelor,Junior Product Manager,2.0,40000.0
36.0,Female,Bachelor,Senior Marketing Specialist,8.0,85000.0
43.0,Male,Bachelor,Senior IT Project Manager,14.0,130000.0
33.0,Female,Master,Senior Financial Analyst,6.0,95000.0
34.0,Male,Bachelor,Senior Quality Assurance Analyst,9.0,100000.0
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0
28.0,Male,Bachelor,Junior Operations Analyst,1.5,35000.0
39.0,Female,Bachelor,Senior Account Executive,12.0,95000.0
47.0,Male,Master,Director of Business Development,19.0,170000.0
30.0,Female,Bachelor,Junior Social Media Manager,3.0,45000.0
34.0,Male,Bachelor,Senior Product Manager,7.0,95000.0
40.0,Female,Master,Senior Human Resources Specialist,13.0,120000.0
28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0
41.0,Female,Bachelor,Senior Marketing Coordinator,11.0,90000.0
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0
32.0,Female,Bachelor,Junior Account Manager,5.0,55000.0
35.0,Male,Master,Senior Software Developer,9.0,110000.0
49.0,Female,Master,Director of Human Capital,21.0,180000.0
30.0,Male,Bachelor,Junior Advertising Coordinator,3.0,45000.0
44.0,Male,Bachelor,Senior Sales Manager,16.0,130000.0
27.0,Female,Master,Junior UX Designer,1.5,45000.0
36.0,Male,Bachelor,Senior Accountant,7.0,90000.0
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
31.0,Male,Bachelor,Junior HR Generalist,4.0,50000.0
39.0,Female,Bachelor,Senior Operations Manager,10.0,120000.0
47.0,Male,Master,Director of Finance,20.0,170000.0
30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0
38.0,Male,Master,Senior IT Consultant,9.0,110000.0
45.0,Female,PhD,Senior Product Designer,15.0,150000.0
28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0
34.0,Female,Master,Senior Financial Advisor,6.0,100000.0
35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0
50.0,Female,PhD,Director of Operations,22.0,180000.0
29.0,Male,Bachelor,Junior Business Operations Analyst,1.5,35000.0
40.0,Female,Bachelor,Senior Sales Representative,12.0,100000.0
48.0,Male,Master,Director of Marketing,19.0,170000.0
31.0,Female,Bachelor,Junior Social Media Specialist,3.0,45000.0
33.0,Male,Bachelor,Senior Product Development Manager,7.0,100000.0
42.0,Female,Master,Senior Human Resources Manager,13.0,140000.0
28.0,Male,Bachelor,Junior Financial Analyst,2.0,40000.0
40.0,Female,Bachelor,Senior Marketing Manager,11.0,105000.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
33.0,Female,Bachelor,Junior Operations Manager,5.0,70000.0
37.0,Male,Master,Senior Software Architect,9.0,120000.0
51.0,Female,Master,Director of Human Resources,21.0,190000.0
30.0,Male,Bachelor,Junior Marketing Specialist,3.0,45000.0
43.0,Male,Bachelor,Senior Project Manager,15.0,120000.0
27.0,Female,Master,Junior Research Scientist,1.5,50000.0
35.0,Male,Bachelor,Senior Operations Analyst,8.0,85000.0
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0
32.0,Male,Bachelor,Junior Sales Representative,3.0,45000.0
37.0,Female,Bachelor,Senior Financial Analyst,9.0,100000.0
45.0,Male,Master,Senior Software Developer,16.0,140000.0
33.0,Female,Bachelor,Junior Operations Analyst,5.0,70000.0
39.0,Male,Bachelor,Senior Marketing Specialist,10.0,120000.0
44.0,Female,PhD,Senior HR Manager,18.0,160000.0
29.0,Male,Bachelor,Junior Business Analyst,1.5,40000.0
38.0,Female,Bachelor,Senior Product Manager,10.0,120000.0
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
34.0,Female,Bachelor,Junior Marketing Analyst,6.0,70000.0
36.0,Male,Bachelor,Senior Operations Manager,8.0,95000.0
49.0,Female,Master,Director of Marketing,21.0,180000.0
31.0,Male,Bachelor,Junior Financial Analyst,3.0,50000.0
41.0,Female,Bachelor,Senior Project Coordinator,11.0,95000.0
47.0,Male,Master,Director of Operations,20.0,170000.0
30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0
38.0,Male,Master,Senior IT Consultant,9.0,110000.0
45.0,Female,PhD,Senior Product Designer,15.0,150000.0
28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0
34.0,Female,Master,Senior Financial Advisor,6.0,100000.0
35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0
50.0,Female,PhD,Director of Operations,22.0,180000.0
29.0,Male,Bachelor,Junior Business Operations Analyst,1.5,350.0
,,,,,
37.0,Female,Bachelor,Senior Financial Manager,10.0,120000.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
31.0,Female,Bachelor,Junior Marketing Coordinator,3.0,50000.0
42.0,Male,Bachelor,Senior Operations Manager,12.0,110000.0
29.0,Female,Bachelor,Junior Sales Representative,1.5,40000.0
36.0,Male,Bachelor,Senior Marketing Specialist,8.0,95000.0
44.0,Female,Master,Senior HR Specialist,15.0,140000.0
33.0,Male,Bachelor,Junior Operations Manager,4.0,60000.0
39.0,Female,Bachelor,Senior Marketing Coordinator,9.0,110000.0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
32.0,Female,Bachelor,Junior Marketing Manager,4.0,60000.0
37.0,Male,Bachelor,Senior Financial Analyst,8.0,90000.0
47.0,Female,Master,Director of Marketing,20.0,180000.0
30.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0
38.0,Female,Bachelor,Senior Project Manager,9.0,120000.0
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
34.0,Female,Bachelor,Junior Financial Analyst,5.0,70000.0
36.0,Male,Bachelor,Senior Product Manager,8.0,95000.0
49.0,Female,Master,Director of Operations,21.0,180000.0
31.0,Male,Bachelor,Junior Operations Analyst,3.0,50000.0
41.0,Female,Bachelor,Senior Project Coordinator,11.0,95000.0
47.0,Male,Master,Director of Marketing,19.0,170000.0
29.0,Female,Bachelor,Junior Business Development Associate,1.5,35000.0
35.0,Male,Bachelor,Senior Financial Manager,9.0,100000.0
44.0,Female,PhD,Senior Product Designer,15.0,150000.0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor,Senior Software Engineer,13.0,130000.0
32.0,Male,Bachelor,Junior Product Manager,4.0,65000.0
38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0
49.0,Male,PhD,Director of Operations,21.0,180000.0
29.0,Female,Bachelor,Junior Marketing Specialist,2.0,40000.0
35.0,Male,Bachelor,Senior Business Development Manager,7.0,90000.0
45.0,Female,Master,Senior HR Manager,14.0,140000.0
33.0,Male,Bachelor,Junior Financial Analyst,4.0,60000.0
40.0,Female,Bachelor,Senior Marketing Manager,12.0,130000.0
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0
30.0,Female,Bachelor,Junior Operations Coordinator,2.0,40000.0
37.0,Male,Bachelor,Senior Marketing Analyst,9.0,100000.0
48.0,Female,Master,Director of HR,20.0,180000.0
31.0,Male,Bachelor,Junior Project Manager,3.0,55000.0
38.0,Female,Bachelor,Senior Operations Coordinator,9.0,120000.0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
33.0,Female,Bachelor,Junior Marketing Manager,5.0,70000.0
36.0,Male,Bachelor,Senior Business Analyst,8.0,95000.0
49.0,Female,Master,Director of Marketing,21.0,180000.0
31.0,Male,Bachelor,Junior Operations Analyst,3.0,50000.0
42.0,Female,Bachelor,Senior Project Manager,12.0,120000.0
47.0,Male,Master,Director of Marketing,19.0,170000.0
29.0,Female,Bachelor,Junior Business Development Associate,1.5,35000.0
35.0,Male,Bachelor,Senior Financial Manager,9.0,100000.0
44.0,Female,PhD,Senior Product Designer,15.0,150000.0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor,Senior Software Engineer,13.0,130000.0
34.0,Female,Master,Senior Financial Advisor,6.0,80000.0
36.0,Male,Bachelor,Senior Marketing Specialist,8.0,95000.0
30.0,Female,Bachelor,Junior HR Coordinator,2.0,40000.0
37.0,Male,Bachelor,Senior Business Development Manager,10.0,120000.0
45.0,Female,Master,Senior Marketing Manager,16.0,160000.0
32.0,Male,Bachelor,Junior Financial Advisor,4.0,65000.0
39.0,Female,Bachelor,Senior Project Manager,12.0,130000.0
47.0,Male,PhD,Director of Engineering,20.0,180000.0
29.0,Female,Bachelor,Junior Marketing Analyst,2.0,40000.0
36.0,Male,Bachelor,Senior Operations Manager,9.0,100000.0
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
32.0,Male,Bachelor,Junior Marketing Coordinator,3.0,55000.0
38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0
48.0,Male,Master,Director of Marketing,21.0,180000.0
31.0,Female,Bachelor,Junior Business Development Associate,3.0,50000.0
40.0,Male,Bachelor,Senior Financial Analyst,12.0,130000.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
33.0,Male,Bachelor,Junior Product Manager,4.0,60000.0
36.0,Female,Bachelor,Senior Marketing Manager,8.0,95000.0
47.0,Male,Master,Director of Operations,19.0,170000.0
29.0,Female,Bachelor,Junior Project Manager,2.0,40000.0
34.0,Male,Bachelor,Senior Operations Coordinator,7.0,90000.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
33.0,Male,Bachelor,Junior Marketing Specialist,5.0,70000.0
35.0,Female,Bachelor,Senior Financial Manager,8.0,90000.0
43.0,Male,Master,Director of Marketing,18.0,170000.0
31.0,Female,Bachelor,Junior Financial Analyst,3.0,50000.0
41.0,Male,Bachelor,Senior Product Manager,14.0,150000.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
45.0,Male,Master,Director of Engineering,19.0,180000.0
28.0,Female,Bachelor,Junior Operations Manager,1.0,35000.0
36.0,Male,Bachelor,Senior Business Development Manager,8.0,110000.0
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0
31.0,Male,Bachelor,Junior Marketing Coordinator,3.0,55000.0
38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0
48.0,Male,Master,Director of Marketing,21.0,180000.0
31.0,Female,Bachelor,Junior Business Development Associate,3.0,50000.0
40.0,Male,Bachelor,Senior Financial Analyst,12.0,130000.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
33.0,Male,Bachelor,Junior Product Manager,4.0,60000.0
36.0,Female,Bachelor,Senior Marketing Manager,8.0,95000.0
47.0,Male,Master,Director of Operations,19.0,170000.0
29.0,Female,Bachelor,Junior Project Manager,2.0,40000.0
34.0,Male,Bachelor,Senior Operations Coordinator,7.0,90000.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
33.0,Male,Bachelor,Junior Marketing Specialist,5.0,70000.0
35.0,Female,Bachelor,Senior Financial Manager,8.0,90000.0
43.0,Male,Master,Director of Marketing,18.0,170000.0
31.0,Female,Bachelor,Junior Financial Analyst,3.0,50000.0
41.0,Male,Bachelor,Senior Product Manager,14.0,150000.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0
43.0,Male,Master,Director of Operations,19.0,170000.0
29.0,Female,Bachelor,Junior Project Manager,2.0,40000.0
34.0,Male,Bachelor,Senior Operations Coordinator,7.0,90000.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
